 Time; ECG; ECG_filtered; ...
 19:26:54 ;2,72;2,51;
 19:26:54 ;3,16;2,97;
 19:26:54 ;3,33;3,22;
 19:26:54 ;3,15;3,17;
 19:26:54 ;2,71;2,85;
 19:26:54 ;2,13;2,34;
 19:26:54 ;3,21;2,99;
 19:26:54 ;2,86;2,9;
 19:26:54 ;2,19;2,4;
 19:26:54 ;1,49;1,76;
 19:26:54 ;1,14;1,33;
 19:26:54 ;1,23;1,26;
 19:26:54 ;0,99;1,07;
 19:26:54 ;1,39;1,3;
 19:26:54 ;1,85;1,68;
 19:26:54 ;2,36;2,15;
 19:26:54 ;2,92;2,69;
 19:26:54 ;3,4;3,19;
 19:26:54 ;3,48;3,39;
 19:26:55 ;2,96;3,09;
 19:26:55 ;2,39;2,6;
 19:26:55 ;1,93;2,13;
 19:26:55 ;1,49;1,68;
 19:26:55 ;1,23;1,36;
 19:26:55 ;1,19;1,24;
 19:26:55 ;1,35;1,32;
 19:26:55 ;1,63;1,53;
 19:26:55 ;2,03;1,88;
 19:26:55 ;2,52;2,33;
 19:26:55 ;3,1;2,87;
 19:26:55 ;3,23;3,12;
 19:26:55 ;2,52;2,67;
 19:26:55 ;2,99;2,89;
 19:26:55 ;3,67;3,44;
 19:26:55 ;2,58;2,83;
 19:26:55 ;2,59;2,66;
 19:26:55 ;2,19;2,33;
 19:26:55 ;1,64;1,85;
 19:26:55 ;1,19;1,39;
 19:26:55 ;1,14;1,21;
 19:26:55 ;1,21;1,21;
 19:26:55 ;1,26;1,24;
 19:26:55 ;1,52;1,43;
 19:26:55 ;1,06;1,16;
 19:26:56 ;1,26;1,23;
 19:26:56 ;1,57;1,47;
 19:26:56 ;1,93;1,79;
 19:26:56 ;2,47;2,27;
 19:26:56 ;2,92;2,73;
 19:26:56 ;3,31;3,13;
 19:26:56 ;3,32;3,26;
 19:26:56 ;2,92;3,02;
 19:26:56 ;2,27;2,5;
 19:26:56 ;1,72;1,95;
 19:26:56 ;1,75;1,81;
 19:26:56 ;0,93;1,19;
 19:26:56 ;1,15;1,17;
 19:26:56 ;1,53;1,42;
 19:26:56 ;2,05;1,86;
 19:26:56 ;2,77;2,5;
 19:26:56 ;3,4;3,13;
 19:26:56 ;3,76;3,57;
 19:26:56 ;3,68;3,65;
 19:26:56 ;3,34;3,43;
 19:26:56 ;2,84;3,02;
 19:26:56 ;2,17;2,42;
 19:26:56 ;1,57;1,82;
 19:26:56 ;1,17;1,36;
 19:26:56 ;1,1;1,18;
 19:26:56 ;1,27;1,24;
 19:26:57 ;1,64;1,52;
 19:26:57 ;2,2;2;
 19:26:57 ;2,68;2,48;
 19:26:57 ;3,26;3,03;
 19:26:57 ;3,56;3,4;
 19:26:57 ;3,77;3,66;
 19:26:57 ;3,04;3,23;
 19:26:57 ;2,55;2,75;
 19:26:57 ;1,94;2,18;
 19:26:57 ;1,52;1,72;
 19:26:57 ;1,36;1,47;
 19:26:57 ;1,43;1,44;
 19:26:57 ;1,54;1,51;
 19:26:57 ;1,75;1,68;
 19:26:57 ;2,21;2,05;
 19:26:57 ;2,77;2,55;
 19:26:57 ;3,2;3;
 19:26:57 ;3,31;3,22;
 19:26:57 ;3,13;3,16;
 19:26:57 ;2,61;2,78;
 19:26:57 ;2,1;2,3;
 19:26:57 ;1,63;1,83;
 19:26:57 ;1,42;1,54;
 19:26:57 ;1,29;1,36;
 19:26:57 ;1,39;1,38;
 19:26:57 ;1,76;1,65;
 19:26:57 ;2,66;2,36;
 19:26:58 ;2,77;2,64;
 19:26:58 ;3,81;3,46;
 19:26:58 ;3,99;3,83;
 19:26:58 ;3,81;3,82;
 19:26:58 ;2,76;3,02;
 19:26:58 ;2,75;2,83;
 19:26:58 ;2,61;2,68;
 19:26:58 ;2,38;2,47;
 19:26:58 ;2,03;2,16;
 19:26:58 ;1,78;1,89;
 19:26:58 ;1,35;1,51;
 19:26:58 ;0,98;1,14;
 19:26:58 ;0,85;0,93;
 19:26:58 ;0,96;0,95;
 19:26:58 ;1,32;1,21;
 19:26:58 ;1,29;1,27;
 19:26:58 ;1,13;1,17;
 19:26:58 ;1,23;1,21;
 19:26:58 ;1,81;1,63;
 19:26:58 ;1,49;1,53;
 19:26:58 ;2,25;2,03;
 19:26:58 ;2,6;2,43;
 19:26:58 ;2,76;2,66;
 19:26:58 ;2,9;2,83;
 19:26:58 ;2,91;2,88;
 19:26:58 ;2,34;2,5;
 19:26:59 ;1,51;1,81;
 19:26:59 ;1,12;1,32;
 19:26:59 ;1;1,1;
 19:26:59 ;1,01;1,04;
 19:26:59 ;1,15;1,12;
 19:26:59 ;1,42;1,33;
 19:26:59 ;1,83;1,68;
 19:26:59 ;2,31;2,12;
 19:26:59 ;2,9;2,67;
 19:26:59 ;2,78;2,75;
 19:26:59 ;2,49;2,57;
 19:26:59 ;2,18;2,3;
 19:26:59 ;2,09;2,15;
 19:26:59 ;2,67;2,54;
 19:26:59 ;2,58;2,57;
 19:26:59 ;2,2;2,31;
 19:26:59 ;1,81;1,96;
 19:26:59 ;1,58;1,69;
 19:26:59 ;1,4;1,49;
 19:26:59 ;1,17;1,26;
 19:26:59 ;1,23;1,24;
 19:26:59 ;1,6;1,49;
 19:26:59 ;2,04;1,88;
 19:26:59 ;1,17;1,34;
 19:26:59 ;1,4;1,38;
 19:26:59 ;1,75;1,64;
 19:27:00 ;2,15;1,99;
 19:27:00 ;2,63;2,44;
 19:27:00 ;2,89;2,76;
 19:27:00 ;2,82;2,8;
